full_name,unique_id,full_name,electoral_district,category_declaration,income_category,income_description,income_value,income_value_clean,taxes_value,property_category,property_description,property_location,property_date,property_legal,deposits_description,deposits_value,deposits_value_clean,other_financial_category,other_financial_description,other_financial_euros,other_financial_clean,vehicles_date,vehicles_description,other_nocat_description,other_nocat_value,debt_institution,debt_date,debt_amount,debt_amount_remain,debt_other,comments
ARIAGONA GONZÁLEZ PÉREZ,AriagonaGonzálezPérez,ARIAGONA GONZÁLEZ PÉREZ,LAS PALMAS,cantidad pagada por irpf,,,,,3369.53,,,,,,,,,,,,,,,,,,,,,,
ARIAGONA GONZÁLEZ PÉREZ,AriagonaGonzálezPérez,ARIAGONA GONZÁLEZ PÉREZ,,dueda,,,,,,,,,,,,,,,,,,,,,,Préstamo hipotecario concedido por Bankia,39478,234000,102857.69,102857.69,
ARIAGONA GONZÁLEZ PÉREZ,AriagonaGonzálezPérez,ARIAGONA GONZÁLEZ PÉREZ,,Observaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,Mediante declaración de fecha 31/03/23 se  informó que el crédito hipotecario fue cancelado. 
AURELIO ZAPATA SIMÓN,AurelioZapataSimón,AURELIO ZAPATA SIMÓN,GUADALAJARA,bienes patrimoniales,,,,,,Bienes de inmuebles de naturaleza urbana,vivienda unifamiliar Cabanillas,Guadalajara,2008,Ganancial Compraventa con hipoteca,,,,,,,,,,,,,,,,,
AURELIO ZAPATA SIMÓN,AurelioZapataSimón,AURELIO ZAPATA SIMÓN,,bienes patrimoniales,,,,,,Bienes de inmuebles de naturaleza rustica,finca rústica plantación Nogales,Valfermoso de Tajuña,2015,Privativo 25% Donación,,,,,,,,,,,,,,,,,
AURELIO ZAPATA SIMÓN,AurelioZapataSimón,AURELIO ZAPATA SIMÓN,,bienes patrimoniales,,,,,,Bienes de inmuebles de naturaleza rustica,Finca rústica Nave de aperos,Valfermoso de Tajuña,2015,Privativo 25% Donación,,,,,,,,,,,,,,,,,
AURELIO ZAPATA SIMÓN,AurelioZapataSimón,AURELIO ZAPATA SIMÓN,,cantidad pagada por irpf,,,,,1128.9,,,,,,,,,,,,,,,,,,,,,,
AURELIO ZAPATA SIMÓN,AurelioZapataSimón,AURELIO ZAPATA SIMÓN,,deposits,,,,,,,,,,,6 Cuentas corrientes Plan de pensiones,44442.89,44442.89,,,,,,,,,,,,,,
AURELIO ZAPATA SIMÓN,AurelioZapataSimón,AURELIO ZAPATA SIMÓN,,dueda,,,,,,,,,,,,,,,,,,,,,,Préstamo hipotecario,39889,303000,216714.87,216714.87,
AURELIO ZAPATA SIMÓN,AurelioZapataSimón,AURELIO ZAPATA SIMÓN,,dueda,,,,,,,,,,,,,,,,,,,,,,Préstamo personal,43759,6000,1744.85,1744.85,
